Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2021-11-12,333.9200,337.2300,333.7900,336.7200,326.9500,23831049
MSFT,2021-11-11,331.2500,333.7700,330.5100,332.4300,322.7900,16849844
MSFT,2021-11-10,334.5700,334.6300,329.9200,330.8000,321.2000,25500938
MSFT,2021-11-09,337.1100,338.7200,334.5300,335.9500,326.2100,21307400
MSFT,2021-11-08,337.3000,337.6500,334.4400,336.9900,327.2200,20897001
MSFT,2021-11-05,338.5100,338.7900,334.4200,336.0600,326.3100,22570100
MSFT,2021-11-04,332.8900,336.5400,329.5100,336.4400,326.6800,23992202
MSFT,2021-11-03,333.9000,334.9000,330.6500,334.0000,324.3100,21500100
MSFT,2021-11-02,330.3100,333.4500,330.0000,333.1300,323.4700,26487109
MSFT,2021-11-01,331.3600,331.4900,326.3700,329.3700,319.8200,27073200
MSFT,2021-10-29,324.1300,332.0000,323.9000,331.6200,322.0000,34766000
MSFT,2021-10-28,324.3300,324.8700,321.3600,324.3500,314.9400,26297943
MSFT,2021-10-27,316.0000,326.1000,316.0000,323.1700,313.8000,52588700
MSFT,2021-10-26,311.0000,312.4000,308.6000,310.1100,301.1100,28107349
MSFT,2021-10-25,309.3600,309.4000,306.4600,308.1300,299.1900,17554500
MSFT,2021-10-22,310.4000,311.0900,307.8000,309.1600,300.1900,17449332
MSFT,2021-10-21,307.1700,311.0200,306.3600,310.7600,301.7500,16918100
MSFT,2021-10-20,309.2100,309.7000,306.1100,307.4100,298.4900,16537100
MSFT,2021-10-19,308.3500,309.3000,307.2200,308.2300,299.2900,17682139
MSFT,2021-10-18,303.5700,308.2100,302.6900,307.2900,298.3800,22729300
MSFT,2021-10-15,302.3400,304.4500,300.5200,304.2100,295.3900,25384803
MSFT,2021-10-14,299.2100,303.2700,297.8300,302.7500,293.9700,27262902
MSFT,2021-10-13,294.9100,297.2800,293.4900,296.3100,287.7200,23424025
MSFT,2021-10-12,295.3400,295.4400,292.3500,292.8800,284.3800,17974143
MSFT,2021-10-11,292.9200,297.9700,292.7500,294.2300,285.7000,19298634
MSFT,2021-10-08,296.2200,296.6400,293.7600,294.8500,286.3000,17685700
MSFT,2021-10-07,295.1800,296.6400,293.9200,294.8500,286.3000,20430500
MSFT,2021-10-06,285.7800,293.6300,285.5100,293.1100,284.6100,28002600
MSFT,2021-10-05,284.0500,290.4000,284.0500,288.7600,280.3800,24993024
MSFT,2021-10-04,287.4000,287.7500,280.2500,283.1100,274.9000,31350747
MSFT,2021-10-01,282.1200,289.9800,281.2900,289.1000,280.7100,30086300
MSFT,2021-09-30,285.7100,287.8300,281.6200,281.9200,273.7400,32343635
MSFT,2021-09-29,285.1000,286.7700,283.0100,284.0000,275.7600,26353700
MSFT,2021-09-28,289.8000,290.7800,282.7500,283.5200,275.3000,43186237
MSFT,2021-09-27,296.1400,296.4700,292.9400,294.1700,285.6400,23571742
MSFT,2021-09-24,298.2300,299.8000,296.9300,299.3500,290.6700,14999000
MSFT,2021-09-23,298.8500,300.9000,297.5300,299.5600,290.8700,18604601
MSFT,2021-09-22,296.7300,300.2200,294.5100,298.5800,289.9200,26626342
MSFT,2021-09-21,295.6900,297.5400,294.0700,294.8000,286.2500,22364103
MSFT,2021-09-20,296.3300,298.7200,289.5200,294.3000,285.7600,38278700
MSFT,2021-09-17,304.1700,304.5000,299.5300,299.8700,291.1700,41372500
MSFT,2021-09-16,303.7600,305.3100,300.7600,305.2200,296.3700,19550815
MSFT,2021-09-15,303.2600,305.3200,301.8200,304.8200,295.9800,28356304
MSFT,2021-09-14,299.5600,301.3900,298.1000,299.7900,291.0900,21853433
MSFT,2021-09-13,297.5500,298.5400,294.0800,296.9900,288.3800,23652949
MSFT,2021-09-10,298.4200,299.9200,295.3800,295.7100,287.1300,19633400
MSFT,2021-09-09,300.8200,302.1400,297.0000,297.2500,288.6300,19927000
MSFT,2021-09-08,299.7800,300.6100,297.4700,300.2100,291.5000,15046819
MSFT,2021-09-07,301.0100,301.0900,298.2000,300.1800,291.4700,17184083
MSFT,2021-09-03,300.9900,302.6000,300.2600,301.1400,292.4100,14751610
MSFT,2021-09-02,302.2000,303.3600,300.1800,301.1500,292.4100,16290545
MSFT,2021-09-01,302.8700,305.1900,301.4900,301.8300,293.0800,18983826
MSFT,2021-08-31,304.4200,304.5000,301.5000,301.8800,293.1200,26285338
MSFT,2021-08-30,301.1200,304.2200,301.0600,303.5900,294.7800,16348100
MSFT,2021-08-27,298.9900,300.8700,296.8300,299.7200,291.0300,22605726
MSFT,2021-08-26,300.9900,302.4300,298.9500,299.0900,290.4100,17666100
MSFT,2021-08-25,304.3000,304.5900,300.4200,302.0100,293.2500,20006100
